SRR1554534,SRR1554535,SRR1554536,SRR1554537,SRR1554538,SRR1554539,SRR1554541,SRR1554556,SRR1554561,SRR1554566,SRR1554567,SRR1554568,geneID
199.7001,180.0633,41.058683,368.389,279.40481,157.4343,378.5905,281.512,277.272,394.59301,190.51623,287.62376,A1BG
8.031673215829,2.0184800135744,0,19.2741901258,17.287312,6.0001770350037,21.162951,7.0755,8.025310465333,14.2054,13.311400417832,12.07392,A1CF
2253.00484,3438.99502,2961.99863,1923.9975,3209.0036,3313.00008,3198.00178,7820.00079,1808.99701,3087.00017,2437.00492,1769.99844,A2M
106.54368,145.51693,144.07799,90.10878,121.57337,50.12486,82.723065,195.94186,121.95625,35.22484,111.20573,48.08876,A2ML1
26,94.00005,26.99998,27.99996,64.99993,47.99995,62.99998,93.00003,55,41.00002,52.99995,43.00008,A2MP1
3,2,0,6,13,1,4,4,1,19,12,8,A3GALT2
84.99997,77.00002,120,23.999986,58.00004,32.99999,49,104.99999,93.00003,57.00004,27.99999,31.00003,A4GALT
1,2,1,0,5,3,9,3,0,7,3,4,A4GNT
672.00001,670.00053,326.00003,2070.99881389,2154.99968,451.00017,1650.00023,1275.99908,693.00006,2390.9972916588,2034.99995,1904.99926,AAAS
2301.9369,2416.46253,315.19014,3234.93053,3661.6769,2811.6221,3930.94245,2753.02376,3725.27638,3662.88742,3023.51349,2500.73015,AACS
25.1261,18.1376,3.50936,23.0103,76.81184,20.8177,31.0406,40.25229,24.6574,51.1292,45.9542,25.5294,AACSP1
0,0,0,0,0,0,0,0,0,0,0,0,AADAC
0,0,0,0,0,0,0,0,0,1.8095,0,0,AADACL2
0,1,0,0,3,0,0,1,0,4,5,3,AADACL3
0,0,0,0,0,0,0,0,0,0,0,0,AADACL4
1,1,0,0,0,2,3,0,0,0,0,0,AADACP1
326.385835,544.70916,204.99961,1081.42057,1991.60528,437.23802,2102.88051,700.18676,427.95019,1305.44001,2313.6983,1569.733,AADAT
89.02755,180.0352,63.93278,65.2822,148.7414,126.65555,147.87342,229.97312,77.38356,85.388,138.72517,61.7305,AAED1
824.0007,1391.00025,281.0003,626.00038,1322.00038,1742.00007,2132.9987,1824.99913,1127.0005,1168.99876,1596.00003,827.99977,AAGAB
4679.2233,6716.29643,533.807,5652.64464,8553.11901,9793.18417,9949.92714,8028.63639,8394.35855,3945.0641,6538.5909,5027.20138,AAK1
68.92465209436,153.16988,104.19529,258.07842,367.28172,58.27321,176.51873,280.22953,102.60056,319.73289,297.15564,248.53475,AAMDC
2252.99999,2626.99895,676.99969,3065.00634,3587.9996,2019.9977,3498.9982,2986.99665,3176.99629,3931.0026,3953.9977,2758.9993,AAMP
9.20008,9,0,4.03095,13.00555,5,7.07872,11.99998,9.99999,8.04825,10.16294,11,AANAT
331.58603,469.7373,188.40932,1384.4016,1511.7639,389.0001,1613.4145,746.7223,511.1081,1373.1118,1597.1842,975.8558,AAR2
41.03936,51.4416,12.9419,21.29834,15.4661,58.25197,44.57227,86.99136,30.55886,32.6783,47.1567,12.3015,AARD
9821.0003,9612.1085,1408.00246,5980.7927,7062.61978,10124.29822,7825.43038,12149.5865,15331.88313,6324.77274,6328.23489,5095.10488,AARS
589.10796,684.96412,178.203,1188.86548,1575.3158,578.84117,1215.22219,708.497,988.60793,1817.86163,1338.34605,1251.50659,AARS2
1189.08102,1217.18872,224.817056,1987.51393,2184.77708,1052.92074,2582.79329,1314.965701,1091.3058,2600.67204,2708.91853,1897.76027,AARSD1
0,0,0,0,0,0,0,0,0,0,0,0,AARSP1
144.000173057287,310.00006,130.00001,981.99936,1266.99984,323.0002,1002.00066,496.99963,256,1030.99942,1048.9992211,845.99962,AASDH
1401.87621113777,4598.97518,505.99997,6814.82721,8022.88589,4207.938,13834.73195,4726.88958,2105.9267,5994.702,9356.9269,5277.64804,AASDHPPT
166.1469092966,368.03858,195.0353,838.6223,1281.9044,227.5590041,321.8759,1025.51572071356,131.27860316179,1740.77507,860.99136,2011.24428,AASS
616.99992,770.00001,203.00015,1233.00046,1780.00252,550.99986,1321.99998,1006.99958,714.99944,2864.00381,1839.00185,1779.0015,AATF
8105.9981,8782.86037,820.96329,1359.87256,1109.0005,5548.946,1486.8382,17110.812,11911.9997,989.0005,1238.99975,690.88168,AATK
0,0,0,0,0,0,0,0,0,0,0,0,AB019438.66
0,0,0,0,0,0,0,0,0,0,0,0,AB019441.29
9318.02675,9005.76074,3893.87602,7021.70337,9939.43668,10588.96518,11958.2143,10378.39214,14324.2492,9606.13586,10232.8284,8014.89345,ABAT
0,0,0,1.54156,0,2.90399,1.53516,1.32801,0,5.01981,0,0,ABBA01017803.1
0,0,0,0,0,0,0,0,0,0,0,0,ABC12-47043100G14.2
0,0,0,0,0,0,0,0,0,0,0,0,ABC12-47964100C23.1
17.0479,25.1019,4.27638,10.4354,0,20.9775,11.5601,32.6429,29.7691,47.755,7.45852,6.469,ABC13-48559800H2.1
0,0,0,0,0,0,0,0,0,0,0,0,ABC13-48559800H2.2
3.18447,6.20956,0,8.44223,42.9212,6.25954,29.3426,11.2372,1.38217,7.44167,43.0829,18.3954,ABC14-1080714F14.1
48.15572,69.80656,8.93673,58.3614,59.56067,55.14521,53.7675,19.99356,27.88178,52.52,72.2192,43.2057,ABC14-864958H18.2
14.8806,0,12,33.6034,0,0,0,9.76724e-08,0,62.3354,64.2143,0,ABC7-42391500H16.2
1.03104,0,0,0,2.61506,0.628028,0,1.82665,0,2.32839,3.03244,4.48246,ABC7-42418200C9.1
0,0,0,0,0,0.00012162,0,0,0,0,0,0,ABC7-43041300I9.1
0,0,0,0,0,2,4,0,0,0,0,0,ABC7-481722F1.1
