geneID,lowerCI,FoldChange,upperCI,pvalue,fdrBH
A1BG,0.525185257885255,0.897596746301612,1.5340870804627,0.67230594970497,0.71240924578352
A1CF,1.38279851444712,3.12009285096558,7.0400563038924,0.00953667104203122,0.0151650227631059
A2M,0.230173509610817,0.364033391162931,0.575740927379749,0.000318034908000507,0.000721540351175405
A2ML1,0.18818974028517,0.357041096098289,0.677392636335517,0.00388537381744525,0.00676743782473572
A2MP1,0.217464412823323,0.386429741734046,0.686677619376562,0.00319678636379916,0.00567046376068062
A4GALT,0.113297961816865,0.216925796573462,0.415336696833907,0.000174898369128298,0.000428282590268857
AAAS,1.83356709021844,2.64055730150309,3.80272033661481,5.24205828914737E-5,0.000150004800357069
AACS,0.546847842536219,0.777702343214215,1.10601320439665,0.148143554481351,0.183829563213528
AACSP1,0.669609441688167,1.39913760544988,2.92347436745922,0.34517196259524,0.393886367288927
AADAT,2.39216376208466,3.56733552868602,5.31982089852223,7.91941291989457E-6,3.03611338907582E-5
AAED1,0.218390788779082,0.381649557277628,0.666952967130638,0.00235302416762729,0.00431191498473791
AAGAB,0.286644809645309,0.468466308550328,0.765618894402201,0.00512182276886515,0.00865879055111453
AAK1,0.330192374249154,0.523325792650651,0.8294252278727,0.00922414562737105,0.0147176185723692
AAMDC,1.10211242103459,1.95732345315412,3.47615635859613,0.0250538483827335,0.0364098613059294
AAMP,0.67134801029511,0.881266380563343,1.15682242533172,0.336229870504059,0.384489250260282
AAR2,2.08995080335413,2.73598623403879,3.58172099593743,1.27073092735866E-6,6.79363954072379E-6
AARD,0.0867628323447088,0.185704151060674,0.397474711108471,0.000307784796936973,0.000701775934253801
AARS,0.19675522889625,0.27348158230808,0.380128021406584,6.83874332293296E-7,4.12524880724016E-6
AARS2,1.13414574073127,1.58724053507031,2.22134812634034,0.0105533077169912,0.016631308481182
AARSD1,1.07676020064031,1.48212786410228,2.04010419798398,0.0193255006497583,0.0287964564951386
AASDH,2.52029601913254,3.56999719835524,5.05689803876726,1.6466422209336E-6,8.4333442506375E-6
AASDHPPT,1.12043041121144,1.9002198913541,3.22272191058584,0.020682796533834,0.0306337768733474
AASS,1.1831515228203,3.25919460399256,8.97801275814068,0.0254007026021197,0.036873150263669
AATF,1.2912887714501,1.96945317929499,3.00377879153968,0.00392887843229638,0.00683326258552363
AATK,0.0172073759830686,0.0274264266865275,0.04371432817715,1.21036923030034E-10,9.60904634072951E-9
ABAT,0.363684513091165,0.498135818921747,0.68229271569405,0.00030428136144063,0.000694570442730924
