geneID,lowerCI,FoldChange,upperCI,pvalue,fdrBH
A1BG,0.508776334081731,0.867459873685394,1.47901264671127,0.576726348947801,0.62335647066656
A1CF,1.36067815755662,3.05673794746151,6.8669044384674,0.0103147728710151,0.0164223487137035
A2M,0.215669062625599,0.342137151653079,0.542765981899286,0.000199389411166229,0.000487136869988035
A2ML1,0.17630356030693,0.338095068761793,0.648360562441508,0.00305993878172549,0.00550108244755539
A2MP1,0.20686610173913,0.366686870434615,0.649982088987655,0.00211274670023394,0.00394599421535054
A4GALT,0.106160065927033,0.206024250953278,0.399830120772852,0.000158163854246437,0.000396348588515307
AAAS,1.7554218511172,2.52203542613022,3.62343825594273,8.14133995094787e-05,0.000223087885627012
AACS,0.531531585028637,0.758641706800043,1.0827902903747,0.118085252136322,0.150170087426499
AACSP1,0.647656771959687,1.34869488267124,2.80855225374963,0.396563580909342,0.446124703173863
AADAT,2.29137639369479,3.40433757354972,5.05788326464977,1.11326307366985e-05,4.08758484274194e-05
AAED1,0.207801390755365,0.361921007644719,0.630346194019334,0.00151140052467609,0.00292371419157743
AAGAB,0.276929190399567,0.449854852613055,0.730762214440177,0.00331749231488272,0.00591961529033182
AAK1,0.318920398060136,0.513130735424345,0.825607748010775,0.00937706339056588,0.0150792862340222
AAMDC,1.03273936380029,1.84220978456746,3.286150416372,0.0399685011039592,0.055896079654274
AAMP,0.650560548994167,0.849864890265499,1.11022768414515,0.212771242119304,0.255393823338707
AAR2,2.0108187641026,2.61631304428392,3.40413271841784,1.72556224417348e-06,8.87516819394271e-06
AARD,0.0835783298692821,0.177795970327857,0.378224919237616,0.000230404557688426,0.000552970938452223
AARS,0.191214411253485,0.267090691184407,0.37307563195535,6.91225939525298e-07,4.25351834262917e-06
AARS2,1.10015600686592,1.53389305313077,2.13863114300077,0.0153122696041071,0.0235069413569811
AARSD1,1.04429592612402,1.43202361079825,1.96370738464428,0.0286280168428312,0.041334939409287
AASDH,2.41514885608116,3.39431054085925,4.77044883539097,2.10882882570886e-06,1.04740833702151e-05
AASDHPPT,1.0765209670436,1.82349677685847,3.08878377384967,0.02831838876278,0.0409307037064352
AASS,1.106028148602,3.04623352464141,8.38996611286833,0.033437918608973,0.0475149512748496
AATF,1.24446513038893,1.88985135087397,2.86993829010215,0.00560878905025045,0.00948187670198766
AATK,0.0165609395404171,0.0267558796369752,0.0432268406874621,1.80907679889933e-10,1.34667376648357e-08
ABAT,0.352727685465935,0.480390010014969,0.65425701250907,0.000163991776530091,0.000409181150340727
ABC13-48559800H2.1,0.00674632793876989,0.0406476783855873,0.244908604078237,0.00185441148256934,0.00351857662583754
ABC14-1080714F14.1,1.47963702645067,4.89386609625451,16.1863517470362,0.0129133930691167,0.0201064287154968
ABC14-864958H18.2,0.394216221708474,0.81079257469575,1.66757368921237,0.542810703554873,0.590788226303965
ABC7-42391500H16.2,0.0893387929130707,5.46473432508572,334.27048060553,0.390899245094529,0.440470602160408
ABCA1,3.88961257180703,8.73349984788175,19.6096701624746,5.0322793245207e-05,0.000146890808789296
ABCA10,0.148594621461584,0.249600630415523,0.419264668472088,5.09471779717154e-05,0.000148430246761738
ABCA11P,1.03790046957237,1.69625844313506,2.77222411036431,0.0368403767420178,0.0518935583190797
ABCA12,4.4666851204008,8.41447138935703,15.8514260248447,4.43890429907571e-06,1.91243859571129e-05
ABCA13,2.22968159239019,6.39763541042406,18.35676402604,0.00204108122772432,0.00382942869957899
ABCA17P,0.341058388254526,0.524719410416713,0.807282474643576,0.0062819404115013,0.0105089529077148
ABCA2,0.0443615704603963,0.0732708898345651,0.121019685313932,2.29876276366088e-08,3.13455721339386e-07
ABCA3,0.469747566311665,0.69333681642316,1.02334950829497,0.0632229148817944,0.0849665962228925
ABCA4,0.252727971617756,0.76820319708703,2.33506464772051,0.618897774587481,0.663223587366311
ABCA5,0.173330869338409,0.34057110223053,0.669174949143438,0.00413726182431447,0.00720326835483322
ABCA6,0.486773161208483,0.775272850972523,1.2347599279362,0.260403227969425,0.305755213677039
ABCA7,0.0696719741168094,0.174649568706696,0.437801170931306,0.00113971668794598,0.00227032171682777
ABCA8,0.0066087593918373,0.0210106332127992,0.0667972128850727,4.80342159467184e-06,2.04736002395849e-05
ABCA9,0.351621027782359,0.535863613028533,0.816645732421125,0.0067311255946702,0.0111915100248733
ABCB1,0.0890344184099584,0.1336773697282,0.200704845346092,4.35587799559749e-08,4.98370224751396e-07
ABCB10,1.28753607734838,2.05155876759493,3.2689517994429,0.00517148209158348,0.00881234695317322
ABCB11,1.98817479992278,8.59637052953777,37.1685559458734,0.00706576219695757,0.0116904707012283
ABCB4,2.46798763864796,8.42738798782351,28.7768330704522,0.00227055729400704,0.00420847172791469
ABCB5,1.08238314443775,2.95221549145942,8.05220993397893,0.0363680028305756,0.051312777882857
ABCB6,1.06152063129184,1.45769921661358,2.00173877311261,0.0231787148359098,0.0341344725132344
ABCB7,2.48031637320524,3.76783060103701,5.72368412008875,8.48050863206509e-06,3.26131457361732e-05
ABCB8,1.07542927168943,1.44320361784799,1.93674910791438,0.0181155106023359,0.0273549049337171
ABCB9,0.63630969411923,0.896672266783512,1.26356892162643,0.506424704786289,0.555436058960902
ABCC1,1.67406105699624,2.57344185179825,3.95601040769069,0.00033082409214469,0.000757303076824772
ABCC10,1.83861697741599,2.49114800404241,3.37526437222731,1.52567292381359e-05,5.35418080070733e-05
ABCC11,0.173622365440161,0.305690900294614,0.538219406733851,0.000504173674161947,0.00109488871982391
ABCC12,0.00557572890955067,0.0142627522302101,0.0364842165894963,1.33583840003937e-07,1.16560996579311e-06
ABCC2,1.06142326996465,2.6967903836659,6.85181734679234,0.0386507206338439,0.0542179942271608
ABCC3,0.126092172780423,0.20057741659278,0.319062628233812,3.21204959675175e-06,1.47225778655407e-05
ABCC4,3.43939949071117,7.08766606318121,14.6057503232297,4.51046754682884e-05,0.000133770520400247
ABCC5,1.34777758365752,1.82243202043441,2.46424818855616,0.00078119732229835,0.0016177628953056
ABCC6,1.66254576311893,2.67106021360032,4.29134813786671,0.00055403467131004,0.00119138358776269
ABCC6P1,0.0182416697407366,0.0631968072251849,0.218940288922033,0.000299977463593211,0.000695476311302948
ABCC8,0.0767725021709017,0.137137536794625,0.244966667313148,3.62015368059615e-06,1.6203981294884e-05
ABCC9,0.62121034792504,0.960066902375205,1.48376223949757,0.843778060150335,0.865735110042723
ABCD1,1.65940456316328,2.45948526795692,3.64532430341514,0.000231271756704668,0.000554607046555506
ABCD2,0.465020183892397,0.841522662642022,1.52285947206107,0.542755850279572,0.590768107876199
ABCD3,1.77608404787719,2.57328371882861,3.728308412827,8.25752866139884e-05,0.000225788849543507
ABCD4,2.70757450257054,4.27079734955145,6.73654962536363,8.10980527514178e-06,3.15459467987952e-05
ABCE1,1.58454801562466,2.31702530485971,3.38809945197138,0.000313748429866378,0.000722826098857432
ABCF1,1.18214870798123,1.61158475391043,2.19702090058687,0.00522707086524794,0.00889693086551689
ABCF2,0.593108217419086,0.78102378727851,1.02847699353969,0.0746660960530693,0.0989225140825687
ABCF3,0.498253650796991,0.681641219795163,0.932526539004024,0.020058111252524,0.0299896180717924
ABCG1,0.392026173109061,0.591191776086831,0.891541790031118,0.0158200881470618,0.0241995550271392
ABCG2,0.105452150393904,0.179757294090858,0.30642034949659,7.26190739645175e-06,2.87911849914299e-05
ABCG4,0.128967759716706,0.204503599239152,0.324280441822313,3.41099915536918e-06,1.54567630329182e-05
ABCG5,0.276552871057339,0.459463528320816,0.763350360637708,0.00541004084234293,0.00917788488998886
ABCG8,0.0951126484995669,0.19247718677149,0.389511468894022,0.000189071657784548,0.000464650074062301
ABHD1,0.669282942252506,1.05154756553174,1.65214472500115,0.814891795149087,0.84119677800648
ABHD10,0.657337917728929,0.966688757974417,1.42162368789363,0.853281851198517,0.873986663459971
ABHD11,0.21514849630676,0.295806646045496,0.406703153155788,1.00903675394202e-06,5.76133652632714e-06
ABHD12,0.101877759258286,0.140211050373281,0.192967913604557,2.69903884608455e-09,7.11024330378222e-08
ABHD12B,0.0997546939165487,0.164500007869081,0.271267962704246,1.99437821256643e-06,1.00305985796024e-05
ABHD13,0.863068332025172,1.28457531490703,1.91193869411995,0.198283663378137,0.239736414678782
ABHD14A,0.202103063206063,0.280137345963274,0.388301549508593,8.11211785746036e-07,4.83493004527704e-06
ABHD14A-ACY1,0.395864134344812,0.826979455428433,1.72760035670473,0.588973664887454,0.63525446690801
ABHD14B,0.274701369755428,0.397101298716495,0.57403951637635,9.74915773833174e-05,0.000259341473644234
ABHD15,0.150500271745372,0.254609755511193,0.430737611631343,6.74683655251718e-05,0.000189033652588097
ABHD16A,1.06803385921552,1.47344477846733,2.03274408995543,0.0216568074588874,0.0321226230518759
ABHD16B,0.208168886300542,0.367975494908162,0.650462070769865,0.00209166812184371,0.00391165705262963
ABHD17A,0.222095342882111,0.308471432655451,0.428440432517376,2.18298886964207e-06,1.07767804957014e-05
ABHD17AP6,0.00327079195539663,0.0226632980925527,0.157033858293692,0.000895652906355011,0.00182611809751209
ABHD17B,0.800776695408672,1.34329929412101,2.25337850605793,0.241320022290156,0.285817732876834
ABHD17C,1.29442693475347,2.1195498533482,3.4706413009584,0.00561259934982677,0.00948653027472133
ABHD2,1.04023969481998,1.49109182644589,2.1373485802986,0.0320826004737348,0.0457412264562348
ABHD3,0.830471921494522,1.77050517847477,3.77458708220354,0.127873584274721,0.161496100097747
ABHD4,0.627332359922197,1.16425891310371,2.16073472905104,0.606141686555765,0.651421665177645
ABHD5,1.16314498929039,1.83451362223821,2.89339700653376,0.0126893703005241,0.0198005830383059
ABHD6,0.394029811504975,0.56004624911028,0.796010332173899,0.00328420650802893,0.00586722413404093
ABHD8,0.0997007495400577,0.146200716203154,0.214388051413067,3.63850154146342e-08,4.38896892100306e-07
ABI1,0.466623581127035,0.623877524052184,0.834126651030779,0.00364431870583862,0.00643368210812289
ABI2,1.30043397137529,1.8611142829693,2.66353113692441,0.00229775694539498,0.00425185761736833
ABI3,0.194628770505231,0.392020247420822,0.789605123584502,0.0123877566921176,0.0193773076769082
ABI3BP,3.99427289979798,8.49061977669076,18.0484974364116,2.80617730621137e-05,8.93395224018313e-05
ABL1,2.39229580255542,3.66770726427594,5.62308246415562,1.34209407473812e-05,4.79624854597648e-05
ABL2,2.84227898335532,4.11491157561576,5.95736638602157,1.01721258191289e-06,5.79326784746578e-06
ABLIM1,0.410277090687433,0.736195656407597,1.32101951782221,0.280165444594467,0.326522969923
ABLIM2,0.0260474370681112,0.0440793178590592,0.0745941436709984,4.30892596941499e-09,9.54347307300061e-08
ABLIM3,0.706789048461778,1.03604974811601,1.51869795224945,0.845436812038085,0.867040325156534
ABO,0.527048259428991,0.887546085031695,1.49462224561472,0.631112520752647,0.674982629206063
ABR,0.301965133652269,0.4332207535213,0.621529442858418,0.000204704489412212,0.000498290168257134
ABRA,0.375256403777253,0.803289330997856,1.71955426423051,0.54701814046632,0.594649787309324
ABRACL,2.88885800916508,4.64532386892387,7.46974540760849,6.88167184854094e-06,2.75389678703601e-05
ABT1,0.688784445486886,0.965743078993093,1.35406613888295,0.828143154233355,0.85222785446833
ABTB1,0.106929731129489,0.175645354426106,0.288519293984871,2.78624116603769e-06,1.31367060495969e-05
ABTB2,0.738179158873689,1.68344657282766,3.8391660472903,0.196900152360966,0.23832065398433
AC000041.10,0.281556934301401,0.58049628067981,1.19683051926672,0.129247580152919,0.163036252843719
AC000095.9,0.566536443576376,1.05887726530122,1.97908020866912,0.847298424767561,0.868750856737157
AC000367.1,2.53934479986186,4.90302723365967,9.46688140000374,0.000138439353694032,0.000352533996489842
AC001228.1,2.65357103255224e-05,0.00162404320474605,0.0993949775048997,0.00477556930825131,0.00819996399052518
AC001228.2,0.146022342437988,90.4684570912947,56049.9276468955,0.155100066120048,0.192151016341941
AC002310.10,13.4142126544954,33.5501946450888,83.9121601629093,9.89547528197199e-07,5.68079444987448e-06
AC002398.9,0.124615155896624,1.10792570563314,9.85032165927696,0.921301518549196,0.932581912925158
AC002985.3,1.31015891307571,2.94657435565488,6.62690635979457,0.01260158988632,0.0196790148468472
AC003002.6,0.902838375175709,1.67250410789922,3.09830648303508,0.0952392973561049,0.123399754049438
AC004057.1,2.17231570511146,4.33606295223647,8.65502278583074,0.000450691920353116,0.000992327156136497
AC004076.7,2.86889149341757,4.38694897371624,6.70827786346982,3.00337813069513e-06,1.39298354872468e-05
AC004076.9,0.45304976244865,1.08491902756841,2.59805741872206,0.844233804479517,0.866047115953702
AC004158.1,2.23239499956146,13.7933056169756,85.2247384000881,0.00797492289444653,0.0130158403135345
AC004166.6,0.250685119205762,0.440301249150868,0.773341435734327,0.00746977546341591,0.0122818964177144
AC004231.7,1.63285525846026,37.3805150121661,855.742047762636,0.0264294897787523,0.0384389985108079
AC004381.6,2.93575032031698,5.44748048331497,10.1081632898854,3.97682022726236e-05,0.00011996663002705
AC004383.3,1.06605954644001,2.12520402013611,4.23662274990644,0.0343733214954127,0.0487399136601094
AC004754.3,0.261341168640903,0.502183248648986,0.964976228334578,0.0401433230431803,0.0561099505566541
AC004813.1,1.64298360347607,2.64718006111373,4.26514437583683,0.000630289240815777,0.00133641283302624
AC004951.5,0.755443271625653,1.24073357744956,2.03777023110959,0.366951623842096,0.415968161994641
AC004967.7,1.72334315164895,3.00604490941815,5.24347457370436,0.000817582289536451,0.00168358887445867
AC004980.11,0.414856319100025,0.895959012599263,1.93498933317272,0.764115143030033,0.796308121480844
AC004980.7,0.702708059288268,1.18151087751897,1.98655463708435,0.50244609668321,0.551577712305519
AC004980.9,0.00584774318749877,0.0348560443257356,0.207762856042471,0.00123221967592835,0.00243673070835037
AC004985.12,1.46889681013057,2.31586702660837,3.65120275838517,0.00143176381191427,0.00278567275049694
AC005014.5,1.09624017504212,3.23863076780213,9.56791174867465,0.0354999727212654,0.0502183812190113
AC005077.12,1.94796440373402,2.95630871734833,4.48661239164157,6.8389240442412e-05,0.0001912851533422
AC005077.14,0.218942802099846,0.431949691144396,0.852188488912512,0.0190369289522098,0.0286344013920217
AC005154.7,0.754200948118509,1.06702945897978,1.50961341161267,0.69447715371998,0.733524882998907
AC005154.8,2.25321338220531,7.49758094573391,24.9482452402327,0.00292945220425436,0.00529301767996003
AC005363.9,0.0165935574833592,0.285535405343222,4.91338085797943,0.360831267177052,0.409833044201096
